code,geofips,geoname,timeperiod,cl_unit,unit_mult,datavalue,noteref,table,endpoint,topic
SAGDP2N-1,34000,New Jersey,2022,Millions of current dollars,6,754948.2,,SAGDP2N,1,All industry total
SAGDP2N-1,35000,New Mexico,2017,Millions of current dollars,6,93210.1,,SAGDP2N,1,All industry total
SAGDP2N-1,35000,New Mexico,2018,Millions of current dollars,6,98838.2,,SAGDP2N,1,All industry total
SAGDP2N-1,35000,New Mexico,2019,Millions of current dollars,6,103869.2,,SAGDP2N,1,All industry total
SAGDP2N-1,35000,New Mexico,2020,Millions of current dollars,6,100434.5,,SAGDP2N,1,All industry total
SAGDP2N-1,35000,New Mexico,2021,Millions of current dollars,6,111730.6,,SAGDP2N,1,All industry total
SAGDP2N-1,35000,New Mexico,2022,Millions of current dollars,6,125540.6,,SAGDP2N,1,All industry total
SAGDP2N-1,36000,New York,2017,Millions of current dollars,6,1624800.7,,SAGDP2N,1,All industry total
SAGDP2N-1,36000,New York,2018,Millions of current dollars,6,1710665.6,,SAGDP2N,1,All industry total
SAGDP2N-1,36000,New York,2019,Millions of current dollars,6,1793261.3,,SAGDP2N,1,All industry total
SAGDP2N-1,36000,New York,2020,Millions of current dollars,6,1766857.4,,SAGDP2N,1,All industry total
SAGDP2N-1,36000,New York,2021,Millions of current dollars,6,1911345.8,,SAGDP2N,1,All industry total
SAGDP2N-1,36000,New York,2022,Millions of current dollars,6,2048402.6,,SAGDP2N,1,All industry total
SAGDP2N-1,37000,North Carolina,2017,Millions of current dollars,6,546810.1,,SAGDP2N,1,All industry total
SAGDP2N-1,37000,North Carolina,2018,Millions of current dollars,6,568037.3,,SAGDP2N,1,All industry total
SAGDP2N-1,37000,North Carolina,2019,Millions of current dollars,6,593126.9,,SAGDP2N,1,All industry total
SAGDP2N-1,37000,North Carolina,2020,Millions of current dollars,6,601148.7,,SAGDP2N,1,All industry total
SAGDP2N-1,37000,North Carolina,2021,Millions of current dollars,6,659529.3,,SAGDP2N,1,All industry total
SAGDP2N-1,37000,North Carolina,2022,Millions of current dollars,6,715968.3,,SAGDP2N,1,All industry total
SAGDP2N-1,38000,North Dakota,2017,Millions of current dollars,6,56530.2,,SAGDP2N,1,All industry total
SAGDP2N-1,38000,North Dakota,2018,Millions of current dollars,6,60377.1,,SAGDP2N,1,All industry total
SAGDP2N-1,38000,North Dakota,2019,Millions of current dollars,6,60516.3,,SAGDP2N,1,All industry total
SAGDP2N-1,38000,North Dakota,2020,Millions of current dollars,6,55347.6,,SAGDP2N,1,All industry total
SAGDP2N-1,38000,North Dakota,2021,Millions of current dollars,6,63208.6,,SAGDP2N,1,All industry total
SAGDP2N-1,38000,North Dakota,2022,Millions of current dollars,6,72651.3,,SAGDP2N,1,All industry total
SAGDP2N-1,39000,Ohio,2017,Millions of current dollars,6,652187.5,,SAGDP2N,1,All industry total
SAGDP2N-1,39000,Ohio,2018,Millions of current dollars,6,672540.1,,SAGDP2N,1,All industry total
SAGDP2N-1,39000,Ohio,2019,Millions of current dollars,6,703127.8,,SAGDP2N,1,All industry total
SAGDP2N-1,39000,Ohio,2020,Millions of current dollars,6,692121.9,,SAGDP2N,1,All industry total
SAGDP2N-1,39000,Ohio,2021,Millions of current dollars,6,759626.2,,SAGDP2N,1,All industry total
SAGDP2N-1,39000,Ohio,2022,Millions of current dollars,6,825990.0,,SAGDP2N,1,All industry total
SAGDP2N-1,40000,Oklahoma,2017,Millions of current dollars,6,192538.6,,SAGDP2N,1,All industry total
SAGDP2N-1,40000,Oklahoma,2018,Millions of current dollars,6,204193.9,,SAGDP2N,1,All industry total
SAGDP2N-1,40000,Oklahoma,2019,Millions of current dollars,6,205262.6,,SAGDP2N,1,All industry total
SAGDP2N-1,40000,Oklahoma,2020,Millions of current dollars,6,191653.5,,SAGDP2N,1,All industry total
SAGDP2N-1,40000,Oklahoma,2021,Millions of current dollars,6,217730.8,,SAGDP2N,1,All industry total
SAGDP2N-1,40000,Oklahoma,2022,Millions of current dollars,6,242738.5,,SAGDP2N,1,All industry total
SAGDP2N-1,41000,Oregon,2017,Millions of current dollars,6,225534.5,,SAGDP2N,1,All industry total
SAGDP2N-1,41000,Oregon,2018,Millions of current dollars,6,238466.9,,SAGDP2N,1,All industry total
SAGDP2N-1,41000,Oregon,2019,Millions of current dollars,6,248939.8,,SAGDP2N,1,All industry total
SAGDP2N-1,41000,Oregon,2020,Millions of current dollars,6,251855.8,,SAGDP2N,1,All industry total
SAGDP2N-1,41000,Oregon,2021,Millions of current dollars,6,275444.0,,SAGDP2N,1,All industry total
SAGDP2N-1,41000,Oregon,2022,Millions of current dollars,6,297308.9,,SAGDP2N,1,All industry total
SAGDP2N-1,42000,Pennsylvania,2017,Millions of current dollars,6,754318.0,,SAGDP2N,1,All industry total
SAGDP2N-1,42000,Pennsylvania,2018,Millions of current dollars,6,780620.7,,SAGDP2N,1,All industry total
SAGDP2N-1,42000,Pennsylvania,2019,Millions of current dollars,6,803078.0,,SAGDP2N,1,All industry total
SAGDP2N-1,42000,Pennsylvania,2020,Millions of current dollars,6,777427.1,,SAGDP2N,1,All industry total
SAGDP2N-1,42000,Pennsylvania,2021,Millions of current dollars,6,844391.6,,SAGDP2N,1,All industry total
SAGDP2N-1,42000,Pennsylvania,2022,Millions of current dollars,6,911813.3,,SAGDP2N,1,All industry total
SAGDP2N-1,44000,Rhode Island,2017,Millions of current dollars,6,58771.6,,SAGDP2N,1,All industry total
SAGDP2N-1,44000,Rhode Island,2018,Millions of current dollars,6,60064.9,,SAGDP2N,1,All industry total
SAGDP2N-1,44000,Rhode Island,2019,Millions of current dollars,6,62526.9,,SAGDP2N,1,All industry total
SAGDP2N-1,44000,Rhode Island,2020,Millions of current dollars,6,62054.2,,SAGDP2N,1,All industry total
SAGDP2N-1,44000,Rhode Island,2021,Millions of current dollars,6,67236.7,,SAGDP2N,1,All industry total
SAGDP2N-1,44000,Rhode Island,2022,Millions of current dollars,6,72771.4,,SAGDP2N,1,All industry total
SAGDP2N-1,45000,South Carolina,2017,Millions of current dollars,6,224937.6,,SAGDP2N,1,All industry total
SAGDP2N-1,45000,South Carolina,2018,Millions of current dollars,6,236561.7,,SAGDP2N,1,All industry total
SAGDP2N-1,45000,South Carolina,2019,Millions of current dollars,6,248046.5,,SAGDP2N,1,All industry total
SAGDP2N-1,45000,South Carolina,2020,Millions of current dollars,6,249482.2,,SAGDP2N,1,All industry total
SAGDP2N-1,45000,South Carolina,2021,Millions of current dollars,6,271494.5,,SAGDP2N,1,All industry total
SAGDP2N-1,45000,South Carolina,2022,Millions of current dollars,6,297546.3,,SAGDP2N,1,All industry total
SAGDP2N-1,46000,South Dakota,2017,Millions of current dollars,6,51615.1,,SAGDP2N,1,All industry total
SAGDP2N-1,46000,South Dakota,2018,Millions of current dollars,6,53349.5,,SAGDP2N,1,All industry total
SAGDP2N-1,46000,South Dakota,2019,Millions of current dollars,6,55007.4,,SAGDP2N,1,All industry total
SAGDP2N-1,46000,South Dakota,2020,Millions of current dollars,6,56162.9,,SAGDP2N,1,All industry total
SAGDP2N-1,46000,South Dakota,2021,Millions of current dollars,6,62607.1,,SAGDP2N,1,All industry total
SAGDP2N-1,46000,South Dakota,2022,Millions of current dollars,6,68781.7,,SAGDP2N,1,All industry total
